"item#id","item#name","item#kana"
7,青い宝石,あおいほうせき
40,赤いサンゴ,あかいさんご
6,赤い宝石,あかいほうせき
78,麻の糸,あさのいと
106,あまつゆのいと,あまつゆのいと
17,あやかしそう,あやかしそう
18,暗黒の樹木,あんこくのじゅもく
20,イエローアイ,いえろーあい
43,いかずちのたま   ,いかずちのたま   
76,ウェナールシェル ,うぇなーるしぇる
123,うしのふん,うしのふん
122,うまのふん,うまのふん
107,うるわしキノコ   ,うるわしきのこ
89,エルトナスイセン ,えるとなすいせん
116,おうごんのかけら ,おうごんのかけら
110,大きなうろこ,おおきなうろこ
47,大きな貝がら,おおきなかいがら
68,大きな化石,おおきなかせき
23,大きなこうら,おおきなこうら
67,大きなホネ,おおきなほね
87,オグリドホーン   ,おぐりどほーん
30,かがみ石,かがみいし
108,かがやきそう,かがやきそう
95,かがやきの樹液,かがやきのじゅえき
3,かぜきりのはね   ,かぜきりのはね   
84,カチコチくるみ   ,かちこちくるみ
115,ガマのあぶら,がまのあぶら
28,黄色の宝石,きいろのほうせき
33,きよめの水,きよめのみず
41,きれいな枝,きれいなえだ
5,ぎんのこうせき   ,ぎんのこうせき   
31,グリーンアイ,ぐりーんあい
4,けものの皮,けもののかわ
86,げんこつダケ,げんこつだけ
51,げんませき,げんませき
37,こうもりのはね   ,こうもりのはね   
39,氷のけっしょう   ,こおりのけっしょう   
54,氷の樹木,こおりのじゅもく
118,ゴールドストーン ,ごーるどすとーん
83,コットン草,こっとんそう
94,さえずりのみつ   ,さえずりのみつ   
26,さくらの花びら   ,さくらのはなびら
46,さざなみのしずく ,さざなみのしずく 
100,さとりそう,さとりそう
42,サバンナウッド   ,さばんなうっど
81,サバンナの水,さばんなのみず
105,サンドフルーツ   ,さんどふるーつ
97,しおかぜ草,しおかぜそう
44,しなやかな枝,しなやかなえだ
88,じょうぶな枝,じょうぶなえだ
59,シルク草,しるくそう
64,スライムおしゃれ花,すらいむおしゃればな
66,スライムゼリー   ,すらいむぜりー
35,するどいキバ,するどいきば
25,するどい爪,するどいつめ
19,せいじゃのはい   ,せいじゃのはい   
82,せいれいせき,せいれいせき
73,小さなうろこ,ちいさなうろこ
112,小さな貝がら,ちいさなかいがら
79,小さな化石,ちいさなかせき
75,小さなこうら,ちいさなこうら
74,小さなホネ,ちいさなほね
56,ちょうのはね,ちょうのはね
103,つきのめぐみ,つきのめぐみ
113,つけもの石,つけものいし
2,てっこうせき,てっこうせき
124,天使のすず,てんしのすず
126,天使のソーマ,てんしのそーま
1,どうのこうせき   ,どうのこうせき   
12,ときのすいしょう ,ときのすいしょう 
34,どくがのこな,どくがのこな
36,どくどくヘドロ,どくどくへどろ
61,とげウニ,とげうに
58,ドラゴンのツノ   ,どらごんのつの
21,ドラゴンのホネ   ,どらごんのほね
32,ドラゴンの皮,どらごんのかわ
49,ドワチャカオイル ,どわちゃかおいる
62,なないろのまゆ   ,なないろのまゆ   
96,にじいろの布きれ ,にじいろのぬのきれ 
45,ネコずな,ねこずな
48,パープルアイ,ぱーぷるあい
92,花のみつ,はなのみつ
55,ひかりの石,ひかりのいし
101,ビッグサボテン   ,びっぐさぼてん
90,ピンクパール,ぴんくぱーる
104,プクランサフラン ,ぷくらんさふらん
80,ふさふさの毛皮   ,ふさふさのけがわ
121,ふしぎなドロドロ ,ふしぎなどろどろ
85,ふしぎな海草,ふしぎなかいそう
77,ぶどうエキス,ぶどうえきす
15,プラチナこうせき ,ぷらちなこうせき 
24,ブラックパール   ,ぶらっくぱーる
53,ブルーアイ,ぶるーあい
127,ブルーオーブ,ぶるーおーぶ
38,ヘビーメタル,へびーめたる
60,へびのぬけがら   ,へびのぬけがら   
11,ホカホカストーン ,ほかほかすとーん 
93,ほしのカケラ,ほしのかけら
98,炎の樹木,ほのおのじゅもく
65,ホワイトウッド   ,ほわいとうっど   
91,ホワイトパール   ,ほわいとぱーる   
9,まじゅうのツノ   ,まじゅうのつの   
14,まじゅうのホネ   ,まじゅうのほね   
52,まじゅうの皮,まじゅうのかわ
71,まだらくも糸,まだらくもいと
27,まりょくの土,まりょくのつち
119,まんげつそう,まんげつそう
72,まんねん雪,まんねんゆき
8,みがきずな,みがきずな
99,みかわしそう,みかわしそう
70,水の樹木,みずのじゅもく
69,緑のコケ,みどりのこけ
50,緑の宝石,みどりのほうせき
125,めざめの花,めざめのはな
13,メタルのカケラ   ,めたるのかけら   
114,ヤシの実,やしのみ
63,やわらかい枝,やわらかいえだ
109,やわらかウール   ,やわらかうーる   
102,ゆめみの花,ゆめみのはな
57,ようがんのカケラ ,ようがんのかけら 
10,ようせいのひだね ,ようせいのひだね 
111,ようせいの粉,ようせいのこな
117,よごれたほうたい ,よごれたほうたい 
29,よるのとばり,よるのとばり
22,レッドアイ,れっどあい
16,レッドベリー,れっどべりー
